Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n 25V","C_0402_1005Metric",161.850000,-123.750000,90.000000,top
"C3","100n 25V","C_0402_1005Metric",138.100000,-129.000000,90.000000,top
"C4","100n 25V","C_0402_1005Metric",138.100000,-123.750000,90.000000,top
"C9","100n 6.3V","C_0402_1005Metric",162.250000,-98.000000,-90.000000,top
"C10","100n 6.3V","C_0402_1005Metric",162.250000,-103.500000,-90.000000,top
"C11","100n 6.3V","C_0402_1005Metric",159.000000,-112.250000,180.000000,top
"C12","100n 6.3V","C_0402_1005Metric",153.500000,-112.250000,180.000000,top
"C13","100n 6.3V","C_0402_1005Metric",148.500000,-112.250000,180.000000,top
"C14","100n 6.3V","C_0402_1005Metric",142.000000,-112.250000,180.000000,top
"C15","100n 6.3V","C_0402_1005Metric",137.750000,-104.800000,90.000000,top
"C17","100n 6.3V","C_0402_1005Metric",137.750000,-106.700000,90.000000,top
"C18","100n 6.3V","C_0402_1005Metric",136.700000,-106.700000,90.000000,top
"C19","100n 6.3V","C_0402_1005Metric",153.000000,-87.750000,0.000000,top
"C20","100n 6.3V","C_0402_1005Metric",137.775000,-99.000000,90.000000,top
"C21","100n 6.3V","C_0402_1005Metric",137.775000,-94.225000,-90.000000,top
"C22","100n 6.3V","C_0402_1005Metric",141.100000,-87.775000,0.000000,top
"C23","100n 6.3V","C_0402_1005Metric",148.000000,-87.775000,0.000000,top
"C24","100n 6.3V","C_0402_1005Metric",162.250000,-90.950000,-90.000000,top
"C28","100n 6.3V","C_0402_1005Metric",163.800000,-91.750000,90.000000,top
"C29","4.7u 6.3V","C_0603_1608Metric",137.300000,-89.650000,90.000000,top
"C30","4.7u 6.3V","C_0603_1608Metric",162.650000,-111.300000,90.000000,top
"C31","4.7u 6.3V","C_0603_1608Metric",124.300000,-131.100000,180.000000,top
"C33","2.2u 6.3V","C_0603_1608Metric",141.475000,-86.075000,180.000000,top
"C34","2.2u 6.3V","C_0603_1608Metric",157.300000,-113.250000,-90.000000,top
"C36","16p 16V","C_0402_1005Metric",133.650000,-98.750000,0.000000,top
"C37","16p 16V","C_0402_1005Metric",133.650000,-105.750000,0.000000,top
"C38","100n 25V","C_0402_1005Metric",118.250000,-81.500000,-90.000000,top
"C39","22u 6.3V","C_1206_3216Metric",116.250000,-101.950000,180.000000,top
"C40","22u 6.3V","C_1206_3216Metric",116.250000,-99.500000,180.000000,top
"C41","10u 25V","C_0805_2012Metric",113.400000,-77.050000,0.000000,top
"C42","100n 6.3V","C_0402_1005Metric",169.550000,-77.900000,90.000000,top
"C801","CLY6D-FKC-CK1N1D1BB7D3D3","PLCC6",116.000000,-114.000000,180.000000,top
"D1","SSB43L-E3_5BT","SSB43LE35BT",120.750000,-85.000000,0.000000,top
"D2","P4SMAJ12A","DIOM5027X240N",124.933500,-76.000000,180.000000,top
"D3","PESD2USB5UXT-QR","SOT95P230X110-3N",150.200000,-78.000000,-90.000000,top
"D4","ESD5Z3.3T5G","SODFL1608X70N",176.657000,-87.122000,180.000000,top
"D5","ESD5Z3.3T5G","SODFL1608X70N",176.657000,-89.662000,180.000000,top
"D6","ESD5Z3.3T5G","SODFL1608X70N",176.657000,-94.742000,180.000000,top
"D7","ESD5Z3.3T5G","SODFL1608X70N",176.657000,-97.282000,180.000000,top
"D8","ESD5Z3.3T5G","SODFL1608X70N",176.657000,-104.902000,180.000000,top
"D9","ESD5Z3.3T5G","SODFL1608X70N",124.300000,-132.500000,180.000000,top
"D10","ESD5Z3.3T5G","SODFL1608X70N",127.700000,-132.500000,180.000000,top
"D11","ESD5Z3.3T5G","SODFL1608X70N",165.240000,-130.180000,-90.000000,top
